#{"t_start": 1776915276.7427554, "env_id": "HalfCheetah-v4"}
r,l,t
-265.517597,1000,2.38145
-504.453119,1000,16.758479
-340.179141,1000,37.076722
-301.859391,1000,51.78591
-359.611886,1000,58.924604
-288.898554,1000,73.518103
-283.644038,1000,93.714347
-255.194668,1000,107.985025
-324.640948,1000,128.304791
-140.555701,1000,129.94257
-332.558163,1000,150.155568
-245.29946,1000,164.547071
-382.850413,1000,184.619002
-293.707448,1000,199.448206
-302.358093,1000,207.237361
-231.473234,1000,221.951961
-199.273578,1000,242.124166
-379.059722,1000,256.659986
-371.161564,1000,276.98583
-357.105914,1000,279.074424
-235.300006,1000,299.26948
-265.690407,1000,314.04076
-269.875803,1000,333.93523
-257.606615,1000,348.702377
-160.851264,1000,356.286401
-245.16349,1000,370.488862
-242.251378,1000,390.722763
-201.384379,1000,405.675967
-210.660901,1000,425.919672
-285.355979,1000,427.9735
-261.020525,1000,447.512325
-209.657325,1000,462.122233
-217.240189,1000,482.515707
-231.1858,1000,497.27504
-174.010371,1000,504.632422
-242.245709,1000,518.920272
-24.73863,1000,539.103833
-160.473933,1000,553.818493
-29.432664,1000,574.333246
-159.084381,1000,576.48646
-128.9362,1000,596.848597
-161.17808,1000,611.706032
-133.543689,1000,626.483565
-121.972313,1000,646.917805
-122.192304,1000,648.897956
-198.184033,1000,669.434244
-256.854346,1000,684.499168
-98.17072,1000,704.494841
-176.031739,1000,719.24018
-144.604663,1000,726.692149
-201.391991,1000,741.601657
-95.191262,1000,761.939594
-11.087027,1000,776.645519
-62.963522,1000,797.006638
-123.171344,1000,799.23652
-77.392649,1000,819.355121
8.022226,1000,833.874656
18.008802,1000,853.648944
-152.886304,1000,868.467192
-73.430345,1000,876.170179
44.715795,1000,890.942246
93.936877,1000,911.156377
-115.964636,1000,926.025381
20.65566,1000,946.215378
12.733234,1000,947.85823
-55.584348,1000,968.091959
-47.237525,1000,982.935797
-88.193259,1000,1002.891767
-17.921344,1000,1017.626402
10.520836,1000,1025.285336
142.002877,1000,1039.649224
-4.516304,1000,1059.452332
62.867866,1000,1074.065696
78.984152,1000,1094.286402
134.254954,1000,1096.335379
164.610805,1000,1116.103362
120.58912,1000,1131.021139
-77.427215,1000,1151.031054
76.454395,1000,1165.91238
158.948784,1000,1173.525587
96.120248,1000,1188.234069
98.422501,1000,1208.681322
277.586587,1000,1223.494349
69.939121,1000,1243.490532
148.891896,1000,1245.719126
294.497401,1000,1260.476149
197.733378,1000,1280.817119
101.038737,1000,1295.510345
94.434429,1000,1315.953399
-35.432391,1000,1318.065939
91.248754,1000,1338.093374
182.578967,1000,1352.835876
457.780081,1000,1373.030603
250.747178,1000,1387.81015
245.429723,1000,1395.227604
137.375367,1000,1409.852811
63.669204,1000,1429.700752
139.294074,1000,1444.55911
253.29344,1000,1464.976994
235.024126,1000,1467.060046
77.703369,1000,1487.490326
360.96771,1000,1501.929306
243.132705,1000,1522.019762
345.343159,1000,1536.769736
402.706132,1000,1544.174672
348.780111,1000,1559.08883
219.604653,1000,1579.258452
395.78573,1000,1594.072244
367.098451,1000,1614.431394
62.439375,1000,1616.644598
366.288221,1000,1636.190072
470.767442,1000,1651.013135
462.960129,1000,1670.832915
337.433723,1000,1685.685381
543.138506,1000,1693.278748
618.681638,1000,1707.771333
609.166223,1000,1727.964259
158.071673,1000,1742.730808
336.069915,1000,1763.464323
664.846982,1000,1765.666873
589.554222,1000,1785.95787
663.379035,1000,1800.417291
609.358914,1000,1820.34622
573.382752,1000,1835.000629
462.586985,1000,1842.455726
697.185166,1000,1857.182975
