#{"t_start": 1774901918.4201095, "env_id": "HalfCheetah-v4"}
r,l,t
-381.450959,1000,2.779899
-330.07234,1000,17.204772
-426.001596,1000,37.979482
-312.090625,1000,52.462072
-371.000534,1000,61.092306
-347.423354,1000,75.532647
-230.418198,1000,96.260057
-381.416501,1000,110.85758
-339.146075,1000,131.802701
-376.336437,1000,134.125745
-289.59222,1000,154.942515
-297.158666,1000,169.444784
-335.392727,1000,190.21279
-225.74305,1000,204.389587
-298.661244,1000,212.849547
-316.486557,1000,227.460155
-324.62832,1000,248.476244
-309.963661,1000,262.835814
-234.715698,1000,283.070472
-266.805773,1000,285.237725
-314.833284,1000,305.93605
-208.008379,1000,320.443337
-121.723657,1000,341.674696
-242.344416,1000,356.34061
-354.62622,1000,365.166083
-298.241593,1000,379.37303
-202.519203,1000,400.290689
-217.037021,1000,414.844286
-285.630398,1000,435.775896
-141.170593,1000,437.946155
-277.278184,1000,458.775357
-230.262468,1000,473.32833
-179.349482,1000,494.620187
-161.139532,1000,509.364672
-191.522281,1000,517.684229
-230.183251,1000,532.402216
-240.460822,1000,553.265435
-54.085053,1000,567.837698
-177.870592,1000,588.693597
-91.883951,1000,591.064365
-142.687447,1000,611.672619
-104.518606,1000,626.515061
-99.425593,1000,640.910986
-128.07624,1000,661.55545
-59.066671,1000,663.923913
-30.698675,1000,685.153798
-187.796313,1000,699.944463
7.730204,1000,721.141895
0.066188,1000,735.767761
-60.716503,1000,744.289337
20.336713,1000,758.92621
99.268629,1000,779.986736
46.432626,1000,794.425961
-130.145206,1000,815.576294
-168.392442,1000,817.898997
-68.097361,1000,838.991717
-156.288111,1000,853.430876
-133.233917,1000,874.42972
-154.836058,1000,889.134869
67.992283,1000,898.052684
102.040964,1000,912.122012
-196.442635,1000,932.289
-60.804953,1000,947.104342
89.487199,1000,967.834604
0.92474,1000,969.972629
114.932236,1000,991.34179
216.974082,1000,1005.845425
206.783758,1000,1026.935384
-67.132443,1000,1041.735003
48.0753,1000,1050.38101
159.748123,1000,1065.155491
262.86037,1000,1085.800294
51.519638,1000,1100.356015
-137.815638,1000,1121.534687
242.409497,1000,1123.941545
107.717471,1000,1144.971032
-12.105077,1000,1159.194849
206.033794,1000,1180.260188
-210.847191,1000,1194.840297
112.254665,1000,1203.292377
237.887293,1000,1217.74952
236.860247,1000,1238.812171
390.402247,1000,1253.354172
391.863538,1000,1274.282981
5.315442,1000,1276.728539
160.569498,1000,1291.235669
202.165738,1000,1312.129402
276.014681,1000,1326.553536
314.469704,1000,1347.438285
353.0613,1000,1349.811958
133.434587,1000,1370.287471
10.003434,1000,1384.701401
294.457674,1000,1405.497212
140.766933,1000,1419.894717
639.101111,1000,1428.660551
359.088059,1000,1443.07428
351.869174,1000,1463.283749
425.650089,1000,1477.677081
594.675315,1000,1498.630923
437.907923,1000,1500.97539
414.513976,1000,1521.396235
613.097603,1000,1535.827414
-279.405173,1000,1556.635497
-83.702003,1000,1571.070441
547.965951,1000,1579.248402
656.52992,1000,1593.538376
444.459028,1000,1613.906802
618.060221,1000,1628.4108
95.853738,1000,1648.93829
662.317543,1000,1651.040248
628.79124,1000,1671.972354
765.921773,1000,1686.387386
518.447153,1000,1707.277651
837.291236,1000,1721.689595
611.182185,1000,1730.0081
407.938538,1000,1744.266165
685.44128,1000,1764.844182
632.495104,1000,1779.334962
684.125267,1000,1800.395217
738.424864,1000,1802.784626
620.411434,1000,1823.76221
652.703184,1000,1838.022652
65.135886,1000,1858.827548
39.927862,1000,1873.228206
756.172788,1000,1881.803646
695.170492,1000,1895.778566
