#{"t_start": 1774937320.8840876, "env_id": "HalfCheetah-v4"}
r,l,t
-299.665272,1000,1.989931
-192.561706,1000,34.135538
-190.534526,1000,70.835796
-244.116592,1000,109.737963
-255.545728,1000,134.90133
-258.07946,1000,170.306698
-189.87709,1000,208.786977
-172.539693,1000,245.152787
-118.391675,1000,283.922564
-123.470224,1000,308.267895
-84.463227,1000,345.70488
-167.053699,1000,384.058268
-84.45174,1000,422.213782
48.519414,1000,459.10837
59.217686,1000,483.146379
244.373682,1000,520.288235
174.116527,1000,559.388687
415.311959,1000,597.362534
335.038501,1000,635.095706
660.475221,1000,659.505446
760.874427,1000,698.298045
1564.760618,1000,735.901731
1083.707324,1000,774.714591
2013.602301,1000,811.676946
2185.126528,1000,836.715252
2229.926287,1000,875.411257
2562.046226,1000,912.329472
2701.763221,1000,949.52219
2718.964765,1000,988.058867
3204.339551,1000,1011.265163
2973.106295,1000,1050.598256
3358.486277,1000,1087.766465
3312.627702,1000,1126.002635
3275.402855,1000,1163.85588
3463.674006,1000,1187.27562
3282.970815,1000,1224.973407
3589.02942,1000,1262.936629
3511.537854,1000,1300.511876
1160.901832,1000,1339.010174
2033.912839,1000,1362.616305
3712.409102,1000,1400.889196
3818.04404,1000,1440.046529
3744.845877,1000,1477.760217
3696.461163,1000,1516.68333
3621.639879,1000,1541.268203
4120.945841,1000,1578.181649
4025.105265,1000,1616.887177
3984.945322,1000,1654.330743
4044.173869,1000,1692.871883
4288.538535,1000,1716.984326
4164.079464,1000,1752.633263
4258.708431,1000,1790.96969
4224.965769,1000,1829.201615
4285.188846,1000,1867.346685
4086.960245,1000,1890.756453
4302.2602,1000,1927.542072
4135.56823,1000,1963.881765
4260.93551,1000,1999.797066
4362.580412,1000,2035.796062
4378.177658,1000,2060.604445
4487.634911,1000,2099.425681
4350.588542,1000,2136.60305
4488.828587,1000,2174.702372
4416.1682,1000,2211.099356
4502.674012,1000,2235.759095
4422.453489,1000,2275.100658
4551.917744,1000,2313.059975
4452.81279,1000,2350.836994
4631.779049,1000,2388.341196
4525.097809,1000,2411.487158
4683.58509,1000,2449.073341
4574.612281,1000,2485.85049
4496.337903,1000,2525.12247
4668.464361,1000,2564.522547
4715.063807,1000,2588.17662
4676.273313,1000,2625.789375
4733.976096,1000,2665.030448
4714.583768,1000,2701.526344
4690.984444,1000,2740.280933
4801.48476,1000,2761.774368
4760.831188,1000,2798.522573
4807.776985,1000,2837.202406
4913.480707,1000,2874.802416
4938.813371,1000,2914.055866
4825.203769,1000,2938.784165
4919.436261,1000,2975.688617
4634.54404,1000,3012.900978
5030.688358,1000,3050.034517
4887.080804,1000,3088.679437
5077.033581,1000,3113.28658
5009.146847,1000,3149.173241
4975.637673,1000,3185.19409
4872.853678,1000,3223.890517
5074.092923,1000,3259.603466
5124.93506,1000,3283.883168
5104.366637,1000,3319.367603
4880.214816,1000,3357.917719
5181.283227,1000,3396.092384
5032.07033,1000,3432.152856
5147.837547,1000,3455.746092
5198.367901,1000,3494.240602
5070.636807,1000,3531.865266
5023.034258,1000,3568.341211
4947.023933,1000,3603.57101
5171.688903,1000,3628.54698
5104.050811,1000,3667.503098
5018.112386,1000,3704.2788
5034.889253,1000,3742.200504
4956.026585,1000,3779.554684
5270.534985,1000,3803.17413
5105.637783,1000,3841.936254
5147.481323,1000,3878.916931
5247.499623,1000,3914.991546
5231.750455,1000,3953.266565
5190.311998,1000,3976.559098
5121.491309,1000,4014.971662
5427.757997,1000,4052.294318
5048.929313,1000,4089.153333
5189.856259,1000,4128.009575
5133.805956,1000,4151.417123
5229.406266,1000,4189.906705
5203.091293,1000,4227.821014
5262.373525,1000,4265.451701
5247.836855,1000,4303.698892
5110.482722,1000,4328.825367
