#{"t_start": 1774832865.4653952, "env_id": "Hopper-v4"}
r,l,t
103.669594,68,0.974215
7.42022,20,1.022699
11.8515,30,1.111461
20.727453,33,1.216937
11.779882,21,1.284833
12.315956,19,1.352317
19.544646,43,1.513468
14.27776,19,1.57977
6.660371,10,1.614354
72.798948,50,1.781611
8.554724,15,1.828416
33.14822,25,1.908374
9.806728,16,1.960682
5.464566,9,1.988852
10.666415,17,2.044737
24.209675,23,2.123306
9.432377,12,2.167129
6.034672,11,2.207054
9.593799,21,2.284331
8.344841,10,2.320302
15.488618,19,2.38912
12.589046,16,2.445704
52.708593,61,2.641647
6.588194,9,2.670556
30.933676,33,2.783927
5.129297,9,2.814276
7.85157,18,2.877764
3.92016,14,2.930181
29.345557,35,3.056214
9.869628,16,3.114862
10.460383,14,3.16579
9.601931,12,3.209332
9.073944,20,3.279988
11.390651,16,3.33558
16.974376,18,3.398446
9.650415,17,3.45583
11.638621,17,3.5132
34.752978,28,3.609036
19.00757,23,3.686015
8.654257,26,3.774469
11.987455,14,3.822634
35.16418,28,3.917094
11.105467,20,3.985081
3.718147,9,4.015469
8.35342,24,4.099642
7.840494,11,4.139611
12.674598,17,4.201005
8.807106,10,4.237859
18.811175,24,4.32376
9.738877,20,4.394743
23.251516,21,4.46718
11.24773,15,4.521769
11.638016,13,4.568271
7.283512,9,4.599066
13.692898,14,4.647221
9.146168,11,4.685509
8.496552,16,4.740942
17.279608,26,4.831253
7.959911,12,4.873349
4.963522,8,4.900878
15.146258,22,4.977529
8.059639,10,5.013868
9.298917,12,6.599252
36.183591,34,6.660916
8.516846,12,6.68658
17.478537,26,6.746802
32.619412,36,6.845496
13.366332,28,6.93048
10.604136,17,6.984285
11.702854,14,7.029719
8.912294,11,7.067112
10.114112,14,7.117601
7.025089,9,7.149565
21.371817,21,7.226591
10.807047,12,7.268726
8.902564,12,7.310401
5.030113,8,7.337654
8.701384,12,7.378548
36.877511,32,7.487616
5.980268,9,7.517663
8.69227,15,7.569318
16.295701,18,7.634817
8.039714,12,7.678887
6.975492,9,7.711434
18.385867,17,7.773307
13.802589,16,7.833454
6.64109,14,7.884948
8.893929,17,7.948607
10.024375,12,7.993057
17.297748,17,8.053926
4.667366,12,8.098932
5.601606,10,8.137635
19.913148,30,8.246202
20.140494,22,8.328585
12.177977,18,8.395379
9.437949,11,8.434912
30.126835,33,8.554936
12.895811,16,8.613116
10.804135,13,8.66211
