#{"t_start": 1775009571.1163552, "env_id": "SafetyPointGoal1-v0"}
r,l,t
-0.312179,1000,10.10563
-0.355781,1000,61.913065
-0.245263,1000,120.3469
0.18702,1000,172.457241
0.350245,1000,186.275565
1.461689,1000,238.538384
2.350847,1000,296.812933
3.785153,1000,349.120151
2.297964,1000,407.611436
2.909678,1000,414.972155
0.739271,1000,473.631132
4.710642,1000,525.781285
0.538741,1000,584.260676
0.906137,1000,636.184142
0.891864,1000,649.967563
10.476893,1000,702.034832
5.071034,1000,760.569597
2.874008,1000,812.712306
8.216442,1000,871.454958
7.715233,1000,878.807323
13.807894,1000,937.375256
9.884521,1000,989.43789
15.247829,1000,1047.9461
11.899078,1000,1100.056419
16.462322,1000,1113.847006
17.980654,1000,1166.188566
10.968176,1000,1224.678963
17.719292,1000,1276.797462
18.030595,1000,1335.307978
15.440083,1000,1342.711563
16.363563,1000,1401.298345
19.024674,1000,1453.420257
21.943786,1000,1512.074452
19.244172,1000,1564.258584
19.766957,1000,1578.146539
18.302323,1000,1630.509872
21.285803,1000,1689.066766
22.719427,1000,1741.257539
20.048084,1000,1799.929186
24.749656,1000,1807.387671
18.911701,1000,1865.831622
24.140822,1000,1917.951678
21.540666,1000,1970.135959
23.96441,1000,2028.632521
24.786128,1000,2036.196111
14.775156,1000,2094.868676
22.764663,1000,2147.059834
19.05159,1000,2210.325219
26.983901,1000,2264.281432
25.476728,1000,2278.057825
25.88117,1000,2330.918276
23.769297,1000,2389.620751
23.777649,1000,2441.959254
24.974217,1000,2500.595564
25.050249,1000,2508.003734
26.345675,1000,2566.61645
25.57298,1000,2618.83395
25.964772,1000,2677.388422
24.989968,1000,2729.712674
26.587841,1000,2743.661816
25.098639,1000,2795.941236
27.344272,1000,2854.807713
25.258962,1000,2907.14625
24.860493,1000,2965.939569
26.056149,1000,2973.440637
25.160068,1000,3032.205335
27.312462,1000,3084.582195
25.898512,1000,3143.203892
26.434199,1000,3195.431715
27.998573,1000,3209.281419
25.531471,1000,3261.479554
25.447305,1000,3320.181236
24.597137,1000,3372.291146
28.470395,1000,3430.993479
25.096727,1000,3438.526302
25.07397,1000,3497.272354
24.566397,1000,3549.261322
24.88754,1000,3607.878537
25.607422,1000,3660.119689
24.429831,1000,3673.95469
27.398417,1000,3726.213743
25.967594,1000,3784.841639
26.641465,1000,3837.063107
27.092221,1000,3895.69853
26.007774,1000,3903.136597
25.524417,1000,3955.608713
24.550478,1000,4014.331889
25.519278,1000,4066.583047
29.509724,1000,4125.524757
26.22139,1000,4132.912605
27.562916,1000,4191.493435
25.775697,1000,4243.722803
28.042889,1000,4302.396117
26.772842,1000,4354.685003
25.461022,1000,4368.411596
27.468932,1000,4420.649611
26.168231,1000,4479.076605
27.049049,1000,4531.480416
20.501354,1000,4590.234187
26.288231,1000,4597.716211
26.431344,1000,4656.3636
26.258881,1000,4708.608126
26.338581,1000,4767.355318
24.954313,1000,4819.550446
26.504527,1000,4833.416378
26.736452,1000,4885.58685
25.973709,1000,4944.210563
26.321796,1000,4996.44658
26.186934,1000,5055.17703
27.549691,1000,5062.622097
26.303027,1000,5121.050434
26.28581,1000,5173.273414
27.622977,1000,5231.771215
28.383116,1000,5283.943088
26.689487,1000,5297.557097
28.440374,1000,5349.812223
26.235963,1000,5408.41716
26.56446,1000,5460.595276
23.991858,1000,5519.242406
25.979319,1000,5526.711807
26.015366,1000,5585.563522
28.402707,1000,5637.599723
25.763914,1000,5696.280612
27.711883,1000,5748.527253
26.894242,1000,5762.363234
27.706416,1000,5814.746316
