#{"t_start": 1775027122.7687628, "env_id": "SafetyPointGoal1-v0"}
r,l,t
-0.394215,1000,8.279958
-1.571005,1000,78.641178
-0.154461,1000,153.400189
-0.623093,1000,229.674114
-0.537772,1000,260.202245
-0.062926,1000,335.295858
0.016898,1000,410.878852
0.083883,1000,485.542472
-0.874549,1000,561.79372
-0.988595,1000,592.117868
-0.276377,1000,666.752721
-1.238555,1000,743.197407
-0.73267,1000,819.398985
1.479471,1000,894.380152
-0.010353,1000,924.631044
2.285583,1000,999.323537
1.968419,1000,1075.950971
0.695331,1000,1152.735559
1.130661,1000,1227.746461
0.223244,1000,1257.849239
7.395571,1000,1333.912977
9.964027,1000,1409.037019
7.251587,1000,1485.172426
11.673787,1000,1560.135437
10.52608,1000,1590.498375
12.403423,1000,1667.432083
18.948591,1000,1742.406466
11.118201,1000,1819.142657
14.885303,1000,1895.246728
0.918123,1000,1923.849063
21.059121,1000,2000.467865
14.983844,1000,2075.494216
8.952957,1000,2151.108764
0.54811,1000,2227.205153
0.303192,1000,2256.023165
12.574471,1000,2332.515431
4.797262,1000,2409.336232
18.328917,1000,2484.102814
20.670723,1000,2560.516066
23.376572,1000,2589.191811
20.19218,1000,2665.570898
23.398166,1000,2741.853581
26.924579,1000,2816.784599
26.099352,1000,2893.203313
25.090485,1000,2923.658342
28.378056,1000,2998.660235
25.541307,1000,3075.214838
26.098793,1000,3150.074087
24.578984,1000,3225.708658
25.320459,1000,3256.100123
5.877298,1000,3331.369457
2.303543,1000,3407.454371
21.381746,1000,3484.045127
12.134528,1000,3559.089988
26.89907,1000,3589.563488
23.645239,1000,3665.092513
14.632663,1000,3740.903591
21.584955,1000,3817.266623
16.715786,1000,3892.40959
19.413812,1000,3922.982107
20.290679,1000,3999.367874
21.297504,1000,4074.502049
23.142412,1000,4150.748547
19.077105,1000,4225.861863
13.39097,1000,4256.608822
24.671158,1000,4333.28059
25.100276,1000,4408.441516
25.169927,1000,4483.623541
26.057141,1000,4560.433408
25.886067,1000,4589.594396
26.42653,1000,4665.975677
25.454354,1000,4740.712648
26.416241,1000,4816.144937
23.484044,1000,4892.311776
24.952033,1000,4920.967973
28.25766,1000,4997.477396
27.045511,1000,5074.058397
24.866322,1000,5148.428495
26.146362,1000,5224.715852
24.65431,1000,5253.366668
25.194532,1000,5329.779828
25.845085,1000,5406.558995
27.533211,1000,5481.354065
28.066293,1000,5557.695403
26.866446,1000,5588.168045
26.427445,1000,5663.398306
27.753083,1000,5739.210211
26.116479,1000,5814.323862
27.755442,1000,5890.787892
28.43025,1000,5920.92464
25.74385,1000,5996.2902
26.159174,1000,6072.190415
25.362275,1000,6148.763874
25.936652,1000,6223.627185
26.25682,1000,6253.973228
27.857187,1000,6329.106191
26.637616,1000,6405.200474
25.176774,1000,6481.742418
26.445524,1000,6556.731221
31.955096,1000,6587.31686
26.42867,1000,6663.776596
26.726526,1000,6738.577899
26.513247,1000,6815.218908
27.228362,1000,6889.415729
26.241949,1000,6919.595062
27.227867,1000,6996.230897
25.123794,1000,7071.169762
25.804244,1000,7147.607725
27.465791,1000,7224.356937
29.996349,1000,7253.059915
27.646341,1000,7329.201117
30.334886,1000,7404.118466
27.364867,1000,7480.716344
26.360554,1000,7557.030303
27.101762,1000,7585.929977
26.759076,1000,7662.540216
26.344226,1000,7738.437398
26.207373,1000,7813.77811
25.97757,1000,7890.285159
26.827628,1000,7919.305228
26.018321,1000,7995.861174
26.372264,1000,8072.382343
29.099888,1000,8147.543422
26.285238,1000,8224.169229
28.681457,1000,8254.68248
